source_id,ra,dec,l,b,parallax,radial_velocity,pmra,pmdec,parallax_error,radial_velocity_error,pmra_error,pmdec_error
4061087398909441792,265.73461658619635,-26.49613715708707,1.7691316375862254,1.7824309458212315,0.2757897227939014,-46.6677950957891,-1.012794596940134,-4.8185557150347895,0.06393739493108093,1.1984599818757105,0.122237183953553,0.09117476007344698
4061099768417081856,265.9352891588418,-26.257403022286983,2.06683003816937,1.7545892557245621,0.22827232133048408,9.106424494743834,-1.2684830489730854,-2.1366206864168378,0.06121208217715343,0.11002401040859258,0.10156094121789933,0.07737935518912849
4061076953541980544,265.2511342256715,-26.459558622438507,1.5720740798896624,2.1695237483782175,0.35343966740990884,26.9352495767102,5.162949191459626,-2.7100033067473017,0.06459584523931568,0.6512701485772547,0.14080908284268356,0.10171338084115979
4061083511873503360,265.3269535690736,-26.384010064430544,1.6721611711569115,2.151783048737216,0.45167542034495045,-2.919740903029883,1.5013290895621147,-5.591873886730115,0.058461245351752296,3.279184911879382,0.13091619274749292,0.10344506381553677
4061078220470670592,265.4154449495515,-26.538978339173674,1.5822778445478864,2.002710406244246,1.4404756252755055,-54.06052793851359,-2.202996840182592,-0.9288263938980744,0.36611548927370097,1.3847182807183027,0.6000399095757754,0.5028388542200976
4061079491783882112,265.50843046498295,-26.481450854611804,1.6750812403802542,1.9623259070553223,0.5658948971329465,-3.3263236397863025,-2.434171567991187,-2.652505217109354,0.06478094133853808,2.706882722410732,0.10266349169516727,0.07594043405183491
4061099837136969472,265.8947456043974,-26.273759619768292,2.0338334286115978,1.776987154654225,0.37110452998019616,-22.562821856888895,1.9428954919123034,-0.9926990551329198,0.06504507447285526,4.359958808442446,0.10458768470416366,0.07623801735809743
4061084851903331968,265.4215416763592,-26.35510670518204,1.7414786971978675,2.095047100488834,0.42096267172633106,-19.585211020616928,0.22862733895670284,-2.8303455926174816,0.1078220072042399,3.2460479689030515,0.22076808516702096,0.16726138648321198
4061090486894789248,265.68737368615746,-26.490509788803244,1.751695371433003,1.821362821154752,0.5568324080531594,-68.57447044700298,-1.0903290168598163,3.0523995258304235,0.04572255052197709,6.075761493510039,0.07569037151406356,0.05714265748954347
4061097977319080448,265.99578860464396,-26.2860149530922,2.070860734291741,1.6933888420565697,0.6022399231997817,15.139695994724349,-1.0043681619982083,-2.7335821733617673,0.03496590868547185,1.1463207060523222,0.06331878428768346,0.045532623696854166
4061091041042232832,265.7291259156378,-26.440560575068638,1.8138641371615185,1.8158059507021032,0.5870024986501693,1.6383696166872461,-1.3216718553279185,-0.31430175954768785,0.041227270044355654,1.795917938553261,0.07455709223184648,0.05738527723417947
4061090040218776448,265.87289719101454,-26.392430817657022,1.9224556986904706,1.7314580043222634,0.5778909679542464,10.720048612823739,0.8325193715052079,-4.615638279088376,0.04384125740265367,0.6643840330261993,0.08579784449223778,0.0634008806456834
4061099626586564096,265.9183761862064,-26.283471694599246,2.036665571235521,1.7538514817338713,0.8772239392808575,5.456948497970441,-2.1066336678650743,-5.7399137997172485,0.0568028446154809,1.5215758431550763,0.09607818615187651,0.07195290604842541
