phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper
327.7888661,1861.9764,11.224444,35,257388.2367,250.9761887,1025.5485,11.824917,34,497577.3009,309.5573264,1607.3834,10.519769,1.2369688,1,1.3051481,0.60047245,0.7046757,30.92690758,0.417479362,8,4750,4.5,0,NOT_AVAILABLE,130.9205482,53.42851023,143.3015269,55.60204837,100002,4740.965,4676.75,4840.3335,0.261,0.0364,2.1234,0.1645,0.0427,1.104,200111,14.092332,13.519659,14.481982,90.39145,83.893654,96.889244
50.67420885,6092.3857,11.96443,35,174269.241,192.590386,904.8699,12.248337,33,195362.3732,176.3054779,1108.0902,11.534818,1.1972773,0,0.7135191,0.28390694,0.42961216,-26.13369224,0.925236015,11,6250,4.5,0,NOT_AVAILABLE,130.9139559,53.41558792,143.2850262,55.61182302,100001,6194.25,6058.75,6298,0.2553,0.158,0.332,0.1395,0.0829,0.1738,200111,1.2318962,1.1916432,1.2876135,2.0127873,1.9808679,2.0447068
475.4643575,2779.3203,10.385724,33,604013.8813,284.1947658,2125.3518,10.898771,36,1011606.339,678.5228906,1490.8949,9.749392,1.2225952,1,1.1493797,0.5130472,0.6363325,2.517034787,0.292956972,8,4750,4.5,0,NOT_AVAILABLE,131.0134125,53.37002108,143.1632726,55.58247109,100002,4915.045,4876.1333,4990.7,,,,,,,200111,3.6733096,3.5627844,3.7321696,7.094466,6.9941072,7.194825
46.8601199,6691.371,11.94757,36,184415.2678,224.5536469,821.2526,12.186896,34,190707.2189,171.1283677,1114.4103,11.561002,1.19634,0,0.62589455,0.23932648,0.38656807,10.65633443,1.12308112,6,6000,3.5,0,NOT_AVAILABLE,131.0441882,53.24962583,142.9613171,55.62510039,100001,6829,6762,6925,,,,,,,200111,1.3091766,1.2731304,1.3352486,3.3583012,3.286728,3.4298744
26.89873093,5225.7114,12.818673,32,70112.67946,74.10643852,946.1078,13.236897,31,101502.141,73.06585843,1389.187,12.245732,1.2208929,0,0.9911642,0.41822338,0.5729408,-43.14786732,2.458178693,10,5000,3,-1.5,NOT_AVAILABLE,131.4315726,53.4586983,143.0864192,55.32154741,100001,5327.6665,5267.1304,5340,,,,,,,200111,2.2717674,2.2612855,2.3242872,3.746024,3.6097145,3.8823333
46.49691131,2783.2598,12.908422,29,60591.77422,64.68192879,936.76514,13.395354,31,98350.09762,67.00684866,1467.7618,12.279983,1.2281756,1,1.1153717,0.48693275,0.62843895,-3.595990025,2.460460059,8,5000,3,0,NOT_AVAILABLE,131.435301,53.3991853,142.9928706,55.34829811,100002,5026.3335,4964.5,5098.8066,0.173,0.0659,0.4017,0.083,0.032,0.196,200111,0.7752194,0.75333846,0.79465055,0.34558043,0.34125054,0.34991032
34.73134393,3326.5923,13.031563,32,53432.45177,70.99513595,752.6213,13.531876,32,88694.77597,62.12232336,1427.744,12.392175,1.2301444,0,1.1397009,0.5003128,0.6393881,-1.952578156,1.90288051,5,5500,4.5,0,NOT_AVAILABLE,131.6042035,53.15152158,142.5251699,55.37784722,100001,4971,4933.14,5067.39,,,,,,,200111,4.3816304,4.216524,4.449143,10.56188,9.867837,11.255923
46.86873785,5747.672,12.112428,30,159904.9856,239.392853,667.9606,12.341733,30,166029.9292,197.3193684,841.4274,11.711454,1.2099172,0,0.6302786,0.22930527,0.40097332,-39.56384276,0.848418389,4,5500,3.5,-1.5,NOT_AVAILABLE,131.5550141,53.17800044,142.5908285,55.39124903,100001,6473.3335,6255,6744,,,,,,,200111,2.1827703,2.011078,2.3378108,7.53742,7.254335,7.8205047
47.57347243,4739.5327,12.305614,30,112984.9099,123.2280035,916.8769,12.718837,27,161541.9287,132.545681,1218.7642,11.741207,1.2175434,0,0.97762966,0.4132223,0.56440735,-25.20281808,8.690178703,4,5500,4.5,0,NOT_AVAILABLE,131.2923208,53.27399991,142.872051,55.48341742,100001,5369.5,5353.5,5402.25,0.4313,0.125,0.6776,0.221,0.0939,0.382,200111,1.2309829,1.216103,1.238352,1.1348386,1.1121325,1.1575446
76.27514266,4713.217,11.799114,31,191904.4674,221.3531164,866.96075,12.143676,32,240862.2183,158.6116376,1518.5659,11.307498,1.2037973,0,0.8361778,0.34456158,0.49161625,-46.16125056,0.975624806,10,5750,4.5,0,NOT_AVAILABLE,131.5416566,53.12698902,142.5184434,55.42251285,100001,5769.5,5725,5814,0.9905,0.609,1.3538,0.5383,0.3023,0.6966,200111,1.6421069,1.617066,1.6677341,2.6918466,2.6417775,2.7419157
67.81938423,5183.2627,11.823473,35,194026.1679,224.3226602,864.9423,12.131738,34,228920.2989,186.3629689,1228.3572,11.362709,1.2031738,0,0.76902866,0.30826473,0.46076393,-10.23456879,0.766901997,11,5750,4.5,0,NOT_AVAILABLE,131.5765487,53.02736912,142.3462525,55.45116359,100001,5958.6665,5857.3335,6636.6665,0.1063,0.013,0.205,0.0403,0.0065,0.0985,200111,1.136949,0.9165141,1.1766281,1.4681586,1.4399375,1.4963797
286.2931902,2301.7305,11.141202,35,380571.5422,414.553009,918.0287,11.400297,35,403455.3444,243.9353159,1653.944,10.747432,1.1897768,0,0.6528654,0.2590952,0.39377022,-5.816590794,0.713459515,11,6250,4.5,0,NOT_AVAILABLE,130.8132347,53.27535011,143.1207921,55.73308549,100001,6341.5,6114,6564.17,,,,,,,200111,2.0217261,1.8868904,2.1749809,5.9553504,5.8374605,6.0732403
49.78326489,7089.8174,11.81907,32,174021.0247,204.1058742,852.60175,12.249884,32,253844.2268,195.8188875,1296.3214,11.250502,1.21224,0,0.999382,0.4308138,0.5685682,-33.14165942,0.541409539,14,5500,4.5,0,NOT_AVAILABLE,130.8469525,53.15678381,142.9194955,55.77349589,100001,5259,5064.75,5761.9336,0.1633,0.0584,0.3606,0.1035,0.0304,0.183,200111,0.927125,0.7723393,0.9996054,0.5923576,0.58746976,0.5972454
36.29752366,8215.958,12.002028,31,142804.4344,169.7312771,841.356,12.464534,32,220189.4728,230.7792997,954.11273,11.404928,1.2172061,0,1.0596056,0.4625063,0.5970993,-37.1342993,0.550398092,13,5500,4.5,0,NOT_AVAILABLE,131.0990974,53.137479,142.7592563,55.65064063,100001,5106.62,5016.8477,5695.3335,0.158,0.14,0.1701,0.078,0.0697,0.106,200111,0.83879185,0.6743463,0.8690795,0.4310596,0.4275351,0.4345841
93.25670651,3618.5664,11.867825,30,166299.2037,267.2407527,622.28235,12.299163,28,245009.5653,379.4983781,645.61426,11.288962,1.218853,1,1.0102005,0.4313383,0.5788622,-5.05234995,9.254708432,12,5500,4.5,0,NOT_AVAILABLE,130.9106462,53.05147464,142.7227889,55.79128578,100002,5311,5187,5348,0.5255,0.4265,0.6291,0.2603,0.2147,0.3173,200111,1.1236787,1.1081842,1.178046,0.90507424,0.8821861,0.92796236
624.7644429,3443.3816,9.856612,33,807316.2287,1055.887695,764.5853,10.583779,35,1903896.368,2606.037456,730.57135,9.062812,1.2602657,0,1.5209675,0.7271671,0.79380035,-0.967493015,0.257058192,9,4500,3,0,NOT_AVAILABLE,130.8807195,53.05090836,142.7374255,55.80729321,100001,4325.755,4258.54,4511.25,0.453,0.284,1.0418,0.2153,0.1309,0.4858,200111,16.566431,15.232071,17.093512,86.57654,83.49307,89.66
17.62353438,4691.943,13.394752,30,39381.19079,52.34089178,752.39813,13.863166,30,61803.22212,49.66627725,1244.3699,12.784392,1.22368,0,1.0787735,0.4684143,0.6103592,-22.35525204,4.239247606,9,5500,4.5,0,NOT_AVAILABLE,131.2595934,52.94078853,142.3712897,55.66022668,100001,5040.1265,4907.66,5142.9697,0.183,0.142,0.2353,0.0895,0.0694,0.1187,200111,0.8748426,0.8402042,0.92270696,0.44495925,0.43740028,0.45251822
