solution_id,source_id,global_ranking,reference_time,frequency,frequency_error,geom_model_reference_level,geom_model_reference_level_error,geom_model_gaussian1_phase,geom_model_gaussian1_phase_error,geom_model_gaussian1_sigma,geom_model_gaussian1_sigma_error,geom_model_gaussian1_depth,geom_model_gaussian1_depth_error,geom_model_gaussian2_phase,geom_model_gaussian2_phase_error,geom_model_gaussian2_sigma,geom_model_gaussian2_sigma_error,geom_model_gaussian2_depth,geom_model_gaussian2_depth_error,geom_model_cosine_half_period_amplitude,geom_model_cosine_half_period_amplitude_error,geom_model_cosine_half_period_phase,geom_model_cosine_half_period_phase_error,model_type,num_model_parameters,reduced_chi2,derived_primary_ecl_phase,derived_primary_ecl_phase_error,derived_primary_ecl_duration,derived_primary_ecl_duration_error,derived_primary_ecl_depth,derived_primary_ecl_depth_error,derived_secondary_ecl_phase,derived_secondary_ecl_phase_error,derived_secondary_ecl_duration,derived_secondary_ecl_duration_error,derived_secondary_ecl_depth,derived_secondary_ecl_depth_error
3.75317E+17,2.02739E+18,0.49441403,2228.904538,1.729463538,1.39E-05,19.237097,0.006127585,0.17950341,0.003739172,0.059532203,0.006494568,0.1684206,0.007868129,0.659506,0.005121849,0.055513583,0.004252549,0.38942796,0.015698208,null,null,null,null,TWOGAUSSIANS,8,2.7108722,0.659506,0.005121849,0.31087607,0.023814272,0.38940957,0.01569141,0.17950341,0.003739172,0.33338034,0.03636958,0.16840222,0.007869335
3.75317E+17,2.02739E+18,0.54964954,2209.860472,1.069691892,5.53E-06,18.93397,0.005358708,0.42105317,0.007781292,0.02157189,0.007896357,0.0330816,0.008677062,0.73122996,0.001507478,0.044710454,0.002579323,0.2774577,0.015386002,0.115941405,0.007159981,0.73122996,0.001507478,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE2,9,2.6085083,0.73122996,0.001507478,0.25037855,0.014444208,0.5093399,0.014984535,0.23123316,0.23960607,0.120802574,0.0442196,0.2318822,0.215752
3.75317E+17,2.02739E+18,0.5588737,2194.915762,0.187769654,1.07E-05,18.155079,0.002188154,0.60943353,0.002981369,0.008417774,0.001154051,0.5462321,0.11652355,0.95252675,0.014927521,0.009273014,0.006806549,0.40554163,0.46800616,null,null,null,null,TWOGAUSSIANS,8,3.142268,0.60943353,0.002981369,0.047139533,0.006462687,0.5462321,0.11652355,0.95252675,0.014927521,0.05192888,0.03811667,0.40554163,0.46800616
3.75317E+17,2.02739E+18,0.5381623,2246.893189,3.44785122,1.01E-05,19.690105,0.01027799,0.26564667,0.003844132,0.074607365,0.004726313,0.51210064,0.030691693,0.76824427,0.002289341,0.06762413,0.003249163,0.43540806,0.01542287,null,null,null,null,TWOGAUSSIANS,8,1.8620397,0.26564667,0.003844132,0.4,0,0.51026,0.03089853,0.76824427,0.002289341,0.3786951,0.018195314,0.43356737,0.015275593
3.75317E+17,2.02739E+18,0.50297976,2255.471297,0.349377732,4.95E-05,16.506767,0.001642038,0.12643728,0.043134455,0.04610361,0.026279368,0.004761106,0.002325694,0.47030005,0.011094467,0.012524703,0.011344006,0.21315043,0.10369806,null,null,null,null,TWOGAUSSIANS,8,5.1695395,0.47030005,0.011094467,0.070138335,0.06352644,0.21315043,0.10369806,0.12643728,0.043134455,0.25818023,0.14716445,0.004761106,0.002325694
3.75317E+17,2.02739E+18,0.6243869,2222.25345,1.007049902,2.16E-06,16.373055,0.001511988,0.32438868,6.45E-04,0.043500468,7.63E-04,0.32189676,0.005456162,0.82831275,0.0031123,0.04511976,0.002500741,0.06327016,0.002377659,null,null,null,null,TWOGAUSSIANS,8,5.2046103,0.32438868,6.45E-04,0.24360262,0.004270395,0.32189673,0.005456165,0.82831275,0.0031123,0.25267065,0.014004148,0.06327013,0.002377652
3.75317E+17,2.02739E+18,0.5006156,2204.838263,1.167709481,1.33E-05,18.121374,0.006614522,0.22959504,0.009477994,0.08813185,0.013076587,0.12295481,0.009325358,0.71962523,0.003617535,0.08555781,0.004378003,0.17615454,0.009107216,null,null,null,null,TWOGAUSSIANS,8,3.6389241,0.71962523,0.003617535,0.4,0,0.17222232,0.007977012,0.22959504,0.009477994,0.4,0,0.11902257,0.009199107
3.75317E+17,2.02739E+18,0.5712727,2241.676137,0.400289074,6.10E-06,19.354399,0.004344618,0.15441379,0.037646532,0.0250532,0.019371526,0.07937114,0.05818394,0.8028907,0.002459859,0.035653044,0.001965248,0.66423357,0.033831473,null,null,null,null,TWOGAUSSIANS,8,2.4121258,0.8028907,0.002459859,0.19965704,0.01100539,0.66423357,0.033831473,0.15441379,0.037646532,0.1402979,0.10848054,0.07937114,0.05818394
3.75317E+17,2.02739E+18,0.49113992,2229.906086,1.700932131,1.37E-05,19.472998,0.010560918,0.1962722,0.011979957,0.056692727,0.012598632,0.16526125,0.019568337,0.69606483,0.003536096,0.060587987,0.005754408,0.2554943,0.013595887,null,null,null,null,TWOGAUSSIANS,8,2.5951767,0.69606483,0.003536096,0.33929273,0.03222468,0.25544792,0.013584618,0.1962722,0.011979957,0.31747925,0.07055234,0.16521487,0.019608794
3.75317E+17,2.02739E+18,0.5613022,2233.70336,2.321262026,7.60E-06,19.566109,0.009389215,0.24398819,0.003182087,0.06609479,0.004458107,0.6013104,0.017745754,0.74362576,0.001806821,0.07073635,0.004638986,0.5794781,0.053737268,null,null,null,null,TWOGAUSSIANS,8,2.2394354,0.24398819,0.003182087,0.37013084,0.0249654,0.5998386,0.017986206,0.74362576,0.001806821,0.39612356,0.014591767,0.5780063,0.054347258
