parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error
0.082710592,0.023147288,-1.432227047,0.037221063,-2.7123192,0.038034853,-59.31702472,6.440838742
0.082710895,0.020616306,-2.861608137,0.033109092,-5.110088658,0.036918593,-73.88420089,1.555550518
0.082710896,0.068556411,-2.744256635,0.082383136,-6.521297651,0.087800481,53.16390798,0.486685884
0.082718494,0.076761042,-2.589873694,0.13597114,-3.082303202,0.11944383,-56.11902523,0.467487855
0.082724272,0.047209895,-2.647497,0.057230434,-6.168668286,0.078414693,-9.410114058,0.687111882
0.082728392,0.026786412,-2.128339543,0.04372357,-2.969248448,0.04272356,-106.5567833,0.746985985
0.082735949,0.023970116,-1.572185972,0.039597962,-5.26639267,0.037195885,-370.572611,0.903731552
0.082736708,0.035660851,-2.873010955,0.050894384,-4.992424512,0.057478163,-3.311680147,9.329170087
0.082738973,0.023145126,0.225741958,0.032067657,0.65265663,0.046951002,-162.7928915,2.610513064
0.082739977,0.062768671,-0.969920453,0.106893467,-1.624087901,0.106995189,-125.1438782,5.619468645
0.082743675,0.014536484,-0.423637289,0.029277396,-5.251433122,0.029717378,-46.22449362,3.225491741
0.082745178,0.053439075,-2.766112931,0.104150902,-5.19228582,0.099037778,-52.24627326,1.272298699
0.082748858,0.047668741,-3.060021943,0.065061086,-6.720608713,0.078408927,-5.133848145,0.329973511
0.082749287,0.027718507,-2.631979655,0.044152199,-5.278453626,0.047343382,-57.79633999,0.716057003
0.082752596,0.048124582,-2.902864442,0.081936437,-1.76899275,0.081550487,-116.302958,0.947662036
0.082757163,0.029822007,-3.374495929,0.043902863,-5.23770203,0.049439749,-7.599080941,0.940789296
0.082758292,0.035083613,-2.52737615,0.032615186,-2.942645883,0.037264747,-136.9157361,0.681420645
0.082760484,0.041055138,-1.686681361,0.071488991,-2.174768085,0.064528641,-101.3784726,1.141868629
0.082762748,0.021948286,-3.149496228,0.027698287,-5.933716589,0.034891592,-52.46156378,2.292438155
0.082763196,0.03506807,-2.981585829,0.069177447,-2.544083149,0.068580212,-111.5307962,1.028351298
0.08276717,0.0393051,-3.402832228,0.067953039,-0.881704988,0.067442931,-63.06255379,0.63805675
0.082767171,0.034317977,-2.302878106,0.057436188,-2.62435216,0.06006247,-75.04554167,1.604772856
